Port,latitude,longitude,geometry,AOI_projected,AOI
Kijang ,0.85,104.6,POINT (104.6 0.85),"POLYGON ((7112923.509327517 9683806.026417868, 7112923.509327517 9639806.026417868, 7068923.509327517 9639806.026417868, 7068923.509327517 9683806.026417868, 7112923.509327517 9683806.026417868))","POLYGON ((104.62394633659322 1.0072791131470726, 104.75650402941183 0.8260304818009081, 104.5759304542883 0.6923198022446806, 104.4436191781223 0.8743639409987883, 104.62394633659322 1.0072791131470726))"
Kolonodale ,-1.98333,121.33333,POINT (121.33333 -1.98333),"POLYGON ((9040047.99846754 7067408.742796983, 9040047.99846754 7023408.742796983, 8996047.99846754 7023408.742796983, 8996047.99846754 7067408.742796983, 9040047.99846754 7067408.742796983))","POLYGON ((121.31318121269562 -1.8180162957142256, 121.4977920353168 -1.962783087052296, 121.35358782220666 -2.149066846961019, 121.16875893134483 -2.0034367371589936, 121.31318121269562 -1.8180162957142256))"
Kota Baru ,-3.23333,116.21667,POINT (116.21667 -3.23333),"POLYGON ((8248285.740626184 7641621.277882257, 8248285.740626184 7597621.277882257, 8204285.740626184 7597621.277882257, 8204285.740626184 7641621.277882257, 8248285.740626184 7641621.277882257))","POLYGON ((116.21021604591742 -3.0636430121863962, 116.38569451612857 -3.2265898683797345, 116.22315984306644 -3.4034585524598713, 116.04760959543847 -3.2395996824278153, 116.21021604591742 -3.0636430121863962))"
Kuala Kapus ,3.0,114.36667,POINT (114.36667 3),"POLYGON ((8867982.642490124 8728917.650428722, 8867982.642490124 8684917.650428722, 8823982.642490124 8684917.650428722, 8823982.642490124 8728917.650428722, 8867982.642490124 8728917.650428722))","POLYGON ((114.36546230939676 3.1534307573483957, 114.51948445720272 3.0014097091688905, 114.36788376009268 2.8461622972903275, 114.21384947338406 2.9989753556546552, 114.36546230939676 3.1534307573483957))"
Kuala Tanjung ,3.36667,99.48333,POINT (99.48333 3.36667),"POLYGON ((6540104.707414346 10672390.033001322, 6540104.707414346 10628390.033001322, 6496104.707414346 10628390.033001322, 6496104.707414346 10672390.033001322, 6540104.707414346 10672390.033001322))","POLYGON ((99.51879234952035 3.514917731345846, 99.63110900053827 3.3311136689850023, 99.44769541858165 3.2180606105709715, 99.33572322945538 3.4025637391792753, 99.51879234952035 3.514917731345846))"
Kupang ,-10.16667,123.58333,POINT (123.58333 -10.16667),"POLYGON ((8129392.542250797 5887423.839616221, 8129392.542250797 5843423.839616221, 8085392.542250797 5843423.839616221, 8085392.542250797 5887423.839616221, 8129392.542250797 5887423.839616221))","POLYGON ((123.55339073400953 -9.981462682935145, 123.77040319768636 -10.136638895148343, 123.6134536553007 -10.35232290463005, 123.39607241638946 -10.196143697495383, 123.55339073400953 -9.981462682935145))"
Labuha ,-0.63333,127.46667,POINT (127.46667 -0.63333),"POLYGON ((9917360.278943647 6261882.99369188, 9917360.278943647 6217882.99369188, 9873360.278943647 6217882.99369188, 9873360.278943647 6261882.99369188, 9917360.278943647 6261882.99369188))","POLYGON ((127.43093607581415 -0.4743290275277125, 127.62471512623908 -0.5970684130200985, 127.50258978092764 -0.7927177446568268, 127.30843901939154 -0.6691996060687216, 127.43093607581415 -0.4743290275277125))"
Labuhanhaji ,-8.7,116.56667,POINT (116.56667 -8.7),"POLYGON ((7583196.573048282 6945358.132525242, 7583196.573048282 6901358.132525242, 7539196.573048282 6901358.132525242, 7539196.573048282 6945358.132525242, 7583196.573048282 6945358.132525242))","POLYGON ((116.55855488933506 -8.516312717026459, 116.75148802226158 -8.69162267030721, 116.57483446773041 -8.884152292583469, 116.38180262157864 -8.7078206209327, 116.55855488933506 -8.516312717026459))"
Lalang Marine Terminal ,1.18333,102.21667,POINT (102.21667 1.18333),"POLYGON ((6766437.930275954 10007642.773220245, 6766437.930275954 9963642.773220245, 6722437.930275954 9963642.773220245, 6722437.930275954 10007642.773220245, 6766437.930275954 10007642.773220245))","POLYGON ((102.24653475564337 1.3386871103316575, 102.37128884878173 1.1533840481404591, 102.18665345414993 1.0275845504622625, 102.06220293954752 1.213655118845286, 102.24653475564337 1.3386871103316575))"
Larantuka ,-8.35,122.98333,POINT (122.98333 -8.35),"POLYGON ((8316373.976165422 6147946.224035587, 8316373.976165422 6103946.224035587, 8272373.976165422 6103946.224035587, 8272373.976165422 6147946.224035587, 8316373.976165422 6147946.224035587))","POLYGON ((122.95605652839805 -8.169049222121675, 123.16516111625968 -8.322491651925786, 123.01076671476405 -8.531393945333077, 122.8013356434191 -8.376978069098879, 122.95605652839805 -8.169049222121675))"
